Cas_Nesrece,PRVR_Vreme,PRSP_Promet,PRPV_Povrsje,stevilka_odseka,mesec,dan,dan_v_tednu
17.0,J,N,SU,1437,1,1d,2
8.0,O,R,MO,25,1,1d,2
15.0,J,E,SU,8,1,1d,2
12.0,J,R,MO,1183,1,1d,2
18.0,J,N,SU,660,1,1d,2
4.0,J,R,SU,1048,1,2d,3
15.0,J,N,SU,1046,1,1d,2
22.0,J,R,SU,1400,1,2d,3
18.0,D,N,MO,23,1,2d,3
20.0,O,N,MO,647,1,2d,3
8.0,O,N,SU,13,1,2d,3
18.0,O,N,SU,1232,1,2d,3
4.0,J,R,SP,310,1,1d,2
11.0,O,N,SU,359,1,2d,3
5.0,O,N,MO,7,1,3d,4
4.0,J,R,SU,10,1,1d,2
19.0,D,N,MO,1,1,2d,3
17.0,D,N,MO,173,1,2d,3
15.0,D,N,MO,788,1,2d,3
6.0,O,R,MO,18,1,1d,2
14.0,J,N,SU,242,1,3d,4
19.0,D,N,MO,161,1,5d,6
15.0,N,E,OS,48,1,1d,2
18.0,D,N,MO,1260,1,5d,6
14.0,O,N,MO,1430,1,4d,5
13.0,D,N,MO,9,1,4d,5
8.0,O,N,SU,283,1,4d,5
18.0,O,N,SU,32,1,3d,4
15.0,O,N,MO,86,1,5d,6
22.0,O,E,MO,1012,1,3d,4
11.0,O,R,SU,106,1,2d,3
4.0,D,R,MO,4,1,5d,6
3.0,D,R,MO,1486,1,5d,6
6.0,D,R,MO,16,1,6d,0
18.0,O,N,MO,361,1,5d,6
20.0,J,N,SU,165,1,2d,3
15.0,D,R,MO,37,1,5d,6
6.0,O,G,MO,153,1,3d,4
11.0,D,N,MO,46,1,4d,5
1.0,O,R,MO,28,1,4d,5
20.0,O,R,MO,27,1,3d,4
18.0,O,R,MO,55,1,2d,3
20.0,D,N,MO,605,1,4d,5
16.0,O,N,MO,1318,1,4d,5
12.0,D,N,MO,356,1,4d,5
23.0,O,R,SU,249,1,4d,5
6.0,O,N,MO,311,1,5d,6
15.0,D,R,MO,210,1,5d,6
22.0,N,E,OS,108,1,1d,2
23.0,D,R,MO,1045,1,4d,5
18.0,D,N,MO,300,1,4d,5
19.0,D,N,MO,145,1,5d,6
22.0,O,N,MO,47,1,4d,5
13.0,D,N,MO,611,1,5d,6
5.0,O,N,MO,18,1,4d,5
16.0,O,R,SU,318,1,1d,2
6.0,M,N,SU,1203,1,2d,3
18.0,D,N,MO,1380,1,4d,5
14.0,O,G,SU,2,1,6d,0
10.0,D,N,MO,1079,1,4d,5
21.0,O,R,MO,1062,1,5d,6
5.0,D,R,MO,611,1,5d,6
8.0,O,N,MO,621,1,5d,6
18.0,D,N,SU,131,1,4d,5
10.0,O,N,MO,612,1,6d,0
16.0,J,N,SU,112,1,6d,0
14.0,D,N,MO,55,1,5d,6
18.0,O,R,SU,12,1,6d,0
16.0,J,N,SU,553,1,2d,3
15.0,O,N,SU,1062,1,6d,0
21.0,O,N,MO,380,1,2d,3
16.0,J,G,SU,873,1,2d,3
21.0,O,R,SU,175,1,3d,4
12.0,J,N,SU,7,1,2d,3
12.0,O,R,SU,228,1,2d,3
8.0,D,N,MO,7,1,3d,4
21.0,N,Z,SU,299,1,3d,4
6.0,N,E,SU,66,1,2d,3
11.0,O,R,SU,69,1,4d,5
12.0,O,N,MO,10,1,6d,0
19.0,D,E,MO,50,1,5d,6
15.0,J,N,SU,1259,1,7d,1
19.0,D,N,MO,1237,1,5d,6
9.0,J,N,SU,21,1,1d,2
7.0,D,N,SU,4,1,6d,0
12.0,O,N,SU,31,1,4d,5
13.0,J,R,SU,305,1,6d,0
16.0,O,N,SU,28,1,6d,0
23.0,J,N,SU,54,1,7d,1
11.0,D,N,MO,1,1,5d,6
12.0,N,E,SU,27,1,2d,3
17.0,D,R,MO,79,1,5d,6
18.0,J,R,SU,2,1,3d,4
22.0,O,R,SU,4,1,7d,1
11.0,J,N,SU,806,1,3d,4
19.0,D,N,MO,177,1,4d,5
13.0,J,N,SU,586,1,3d,4
19.0,O,N,SU,7,1,3d,4
14.0,O,N,SU,16,1,7d,1
12.0,D,R,MO,135,1,5d,6
18.0,O,N,SU,22,1,1d,2
11.0,O,N,SU,374,1,7d,1
15.0,D,R,MO,66,1,5d,6
6.0,J,E,SU,11,1,6d,0
5.0,M,N,MO,8,1,8d,2
11.0,O,N,SU,17,1,7d,1
15.0,O,N,MO,1347,1,7d,1
18.0,J,E,SU,85,1,7d,1
16.0,D,N,MO,261,1,5d,6
15.0,J,N,SU,2302,1,7d,1
20.0,O,N,SU,45,1,6d,0
6.0,O,N,MO,345,1,8d,2
9.0,J,R,SU,9,1,2d,3
13.0,J,N,SU,1275,1,2d,3
20.0,D,R,MO,26,1,4d,5
5.0,O,R,SU,210,1,8d,2
18.0,O,R,SU,238,1,1d,2
7.0,J,N,SU,27,1,8d,2
22.0,O,N,MO,36,1,2d,3
14.0,J,N,SU,18,1,8d,2
21.0,J,R,SU,1306,1,6d,0
15.0,J,G,SU,28,1,3d,4
19.0,J,N,MO,6,1,6d,0
11.0,D,N,MO,47,1,4d,5
15.0,D,R,MO,32,1,5d,6
15.0,O,E,SU,21,1,8d,2
13.0,J,N,SU,534,1,6d,0
17.0,O,E,SU,9,1,6d,0
15.0,N,E,SU,16,1,3d,4
14.0,J,E,SU,1113,1,8d,2
20.0,D,R,MO,178,1,4d,5
13.0,J,N,SU,38,1,2d,3
9.0,J,N,SU,35,1,8d,2
8.0,O,N,SU,95,1,6d,0
14.0,D,N,SP,1182,1,4d,5
14.0,J,G,SU,415,1,6d,0
9.0,J,N,SU,5,1,8d,2
12.0,J,G,SU,533,1,8d,2
17.0,J,N,SU,22,1,6d,0
15.0,O,N,SU,1,1,7d,1
20.0,O,E,SU,1178,1,6d,0
19.0,J,N,SU,54,1,8d,2
11.0,O,N,SU,667,1,8d,2
14.0,O,N,SU,1012,1,8d,2
21.0,D,N,MO,165,1,5d,6
19.0,J,N,SU,17,1,8d,2
8.0,N,E,OS,10,1,8d,2
11.0,O,G,SU,258,1,7d,1
14.0,O,N,SU,1045,1,8d,2
17.0,J,N,SU,2,1,3d,4
5.0,M,R,SP,5701,1,7d,1
14.0,D,N,MO,165,1,5d,6
17.0,J,N,SU,1,1,2d,3
8.0,O,N,MO,1292,1,6d,0
13.0,J,G,MO,1276,1,8d,2
9.0,J,N,MO,85,1,9d,3
6.0,M,N,MO,32,1,8d,2
17.0,M,N,SP,7,1,8d,2
7.0,O,R,SU,18,1,4d,5
15.0,J,N,SU,687,1,9d,3
9.0,O,G,MO,11,1,6d,0
17.0,M,N,MO,691,1,8d,2
8.0,O,G,MO,89,1,9d,3
6.0,M,N,MO,328,1,9d,3
5.0,O,G,SU,43,1,7d,1
12.0,O,N,SU,87,1,2d,3
7.0,N,E,MO,21,1,6d,0
17.0,D,R,MO,79,1,5d,6
18.0,D,N,MO,5736,1,9d,3
16.0,O,R,SU,52,1,8d,2
20.0,J,N,MO,355,1,9d,3
11.0,O,G,SU,3,1,9d,3
10.0,O,N,MO,1309,1,9d,3
12.0,J,R,SU,10,1,9d,3
2.0,O,R,SU,1370,1,10d,4
17.0,O,N,SU,210,1,3d,4
20.0,J,N,SU,395,1,3d,4
12.0,O,N,SU,256,1,6d,0
21.0,D,N,MO,100,1,5d,6
15.0,J,G,SU,1495,1,6d,0
13.0,J,N,SU,10,1,8d,2
16.0,J,N,SU,2,1,7d,1
17.0,M,N,MO,9,1,9d,3
20.0,M,N,MO,392,1,9d,3
11.0,O,N,SU,114,1,9d,3
9.0,M,N,MO,1495,1,9d,3
15.0,M,N,SU,1178,1,9d,3
3.0,O,R,MO,89,1,6d,0
21.0,M,R,MO,1400,1,9d,3
22.0,O,N,SU,352,1,9d,3
17.0,J,N,SU,261,1,8d,2
8.0,O,N,SU,21,1,7d,1
8.0,M,N,OS,21,1,9d,3
7.0,M,N,SU,1335,1,8d,2
17.0,J,N,SU,1260,1,8d,2
17.0,J,N,SU,1259,1,8d,2
16.0,J,N,SU,19,1,11d,5
7.0,O,N,MO,1268,1,10d,4
10.0,O,N,SU,31,1,10d,4
18.0,O,G,SU,27,1,10d,4
16.0,J,N,SU,53,1,9d,3
2.0,O,R,MO,3,1,11d,5
21.0,M,G,MO,482,1,11d,5
7.0,O,G,SU,87,1,8d,2
20.0,J,R,SU,453,1,10d,4
1.0,O,R,SU,86,1,12d,6
18.0,O,N,SU,415,1,9d,3
20.0,J,N,SU,1262,1,7d,1
16.0,J,E,SU,10,1,10d,4
8.0,N,E,OS,1413,1,11d,5
15.0,N,E,SU,2,1,10d,4
21.0,O,N,SU,4,1,12d,6
18.0,O,N,SU,67,1,10d,4
14.0,N,E,SU,652,1,8d,2
21.0,J,N,SU,207,1,10d,4
13.0,O,N,MO,54,1,10d,4
20.0,M,N,MO,249,1,10d,4
11.0,J,N,SU,1076,1,12d,6
8.0,J,N,SU,15,1,9d,3
14.0,J,N,SU,652,1,9d,3
20.0,O,N,SU,256,1,6d,0
17.0,J,N,SU,33,1,9d,3
19.0,O,N,SU,689,1,9d,3
18.0,O,N,MO,188,1,10d,4
12.0,J,N,SU,95,1,7d,1
5.0,O,G,MO,651,1,10d,4
22.0,O,R,SU,1013,1,12d,6
19.0,J,R,SU,67,1,3d,4
1.0,O,N,MO,810,1,11d,5
20.0,J,N,SU,92,1,2d,3
20.0,O,R,MO,1169,1,9d,3
14.0,J,R,SU,19,1,6d,0
5.0,O,R,MO,4,1,11d,5
10.0,O,G,MO,3,1,10d,4
12.0,J,N,SU,2,1,9d,3
18.0,J,N,SU,1360,1,11d,5
14.0,J,N,SU,1184,1,8d,2
11.0,D,G,MO,3,1,10d,4
14.0,J,G,SU,19,1,10d,4
7.0,M,N,SU,5,1,9d,3
22.0,J,R,SU,7949,1,9d,3
16.0,O,N,MO,1146,1,10d,4
17.0,O,N,MO,95,1,12d,6
19.0,J,N,SU,1268,1,12d,6
11.0,N,E,SU,6,1,11d,5
19.0,J,N,SU,37,1,10d,4
13.0,J,N,SU,4,1,12d,6
5.0,O,N,SU,1006,1,13d,0
6.0,O,R,SU,56,1,2d,3
14.0,J,N,MO,2,1,6d,0
10.0,O,G,SU,95,1,9d,3
9.0,J,N,SU,95,1,8d,2
14.0,J,N,SU,36,1,12d,6
8.0,O,G,MO,92,1,6d,0
18.0,O,N,SU,15,1,12d,6
15.0,J,R,SU,35,1,12d,6
6.0,M,N,SU,258,1,9d,3
16.0,O,N,SU,608,1,9d,3
20.0,D,N,MO,12,1,3d,4
7.0,O,N,SU,111,1,10d,4
14.0,O,N,SU,367,1,12d,6
9.0,M,N,MO,1309,1,8d,2
11.0,O,N,MO,12,1,9d,3
11.0,O,N,MO,20,1,4d,5
18.0,O,N,SU,1198,1,12d,6
11.0,J,G,MO,85,1,11d,5
14.0,D,N,MO,4,1,13d,0
15.0,N,E,SU,2,1,7d,1
8.0,J,N,MO,1431,1,10d,4
17.0,J,R,SU,22,1,10d,4
10.0,O,N,SU,245,1,10d,4
9.0,O,N,SP,245,1,11d,5
17.0,J,N,SU,1204,1,8d,2
7.0,O,G,SU,1183,1,10d,4
17.0,J,N,SU,10,1,9d,3
18.0,D,N,MO,1359,1,5d,6
6.0,O,N,SU,71,1,13d,0
15.0,J,N,SU,7,1,10d,4
