Cas_Nesrece,PRVR_Vreme,PRSP_Promet,PRPV_Povrsje,stevilka_odseka,mesec,dan,dan_v_tednu
12.0,J,R,SU,1208,3,14d,46
8.0,J,N,SU,1208,3,7d,4
6.0,J,R,SU,1208,5,31d,5
16.0,O,R,SU,1208,6,24d,1
0.0,J,N,SU,1208,6,12d,3
5.0,O,R,SU,1208,9,19d,4
12.0,J,N,SU,1208,10,13d,0
6.0,J,R,SU,1208,2,18d,2
5.0,O,R,SU,1208,2,28d,5
1.0,J,R,SU,1208,6,1d,0
3.0,J,R,SU,1208,6,14d,6
13.0,O,N,SU,1208,6,22d,0
0.0,J,R,SU,1208,7,3d,4
6.0,J,N,SU,1208,7,14d,1
6.0,J,N,SU,1208,7,24d,4
0.0,O,R,SU,1208,8,2d,6
20.0,J,R,SU,1208,9,20d,6
15.0,J,R,SU,1208,9,26d,5
4.0,O,R,SU,1208,10,24d,5
6.0,J,R,SU,1208,11,18d,2
5.0,J,R,SU,1208,11,14d,5
5.0,J,R,SU,1208,11,24d,1
18.0,O,R,SU,1208,11,25d,2
6.0,J,R,SU,1208,11,27d,4
17.0,O,R,SU,1208,11,26d,3
6.0,J,R,SU,1208,1,22d,4
0.0,J,R,SU,1208,2,6d,5
20.0,J,R,SU,1208,3,5d,5
5.0,J,R,SU,1208,4,5d,1
22.0,J,R,SU,1208,4,16d,5
5.0,J,R,SU,1208,4,22d,4
17.0,J,R,SU,1208,4,20d,2
5.0,O,R,SU,1208,5,3d,1
22.0,O,R,SU,1208,5,15d,6
1.0,O,R,SU,1208,5,14d,5
2.0,M,R,SU,1208,5,9d,0
7.0,J,R,SU,1208,6,3d,4
5.0,J,R,SU,1208,6,8d,2
22.0,J,R,SU,1208,7,4d,0
5.0,J,N,SU,1208,7,20d,2
22.0,O,R,SU,1208,8,15d,0
20.0,O,R,SU,1208,8,15d,0
21.0,J,R,SU,1208,8,29d,0
20.0,J,R,SU,1208,9,1d,3
7.0,O,R,SU,1208,10,16d,6
16.0,J,R,SU,1208,10,29d,5
19.0,J,R,SU,1208,10,28d,4
17.0,J,R,SU,1208,11,29d,1
18.0,O,R,SU,1208,11,30d,2
6.0,J,R,SU,1208,12,14d,2
18.0,J,R,SU,1208,12,27d,1
15.0,O,N,SU,1208,1,12d,3
18.0,O,R,SU,1208,1,21d,5
19.0,J,N,SU,1208,2,16d,3
5.0,J,R,SU,1208,3,4d,5
5.0,O,R,SU,1208,3,15d,2
23.0,J,R,SU,1208,3,14d,1
21.0,J,R,SU,1208,4,22d,5
0.0,J,R,SU,1208,6,6d,1
22.0,J,R,SU,1208,6,17d,5
0.0,J,R,SU,1208,6,21d,2
0.0,J,N,SU,1208,5,31d,2
22.0,J,R,SU,1208,7,22d,5
21.0,J,R,SU,1208,8,7d,0
24.0,J,R,SU,1208,8,11d,4
20.0,J,R,SU,1208,8,18d,4
13.0,J,R,SU,1208,8,25d,4
22.0,J,R,SU,1208,8,24d,3
21.0,J,R,SU,1208,10,13d,4
19.0,J,R,SU,1208,11,15d,2
5.0,O,R,SU,1208,1,3d,2
6.0,J,N,SU,1208,1,3d,2
4.0,N,R,SU,1208,1,15d,0
20.0,O,R,SU,1208,3,26d,0
5.0,J,R,SU,1208,4,18d,2
22.0,O,R,SU,1208,7,20d,4
19.0,J,N,SU,1208,8,15d,2
5.0,M,R,SU,1208,9,10d,0
18.0,J,R,SU,1208,9,10d,0
20.0,J,R,SU,1208,9,18d,1
19.0,M,R,SU,1208,10,4d,3
5.0,M,R,SU,1208,10,16d,1
18.0,M,R,SU,1208,10,14d,6
20.0,N,R,SU,1208,10,27d,5
2.0,J,R,SU,1208,11,11d,6
0.0,J,R,SU,1208,11,15d,3
