Cas_Nesrece,PRVR_Vreme,PRSP_Promet,PRPV_Povrsje,stevilka_odseka,mesec,dan,dan_v_tednu
15.0,O,R,MO,1208,2,12d,2
12.0,D,R,MO,1208,7,29d,1
19.0,J,R,MO,1208,3,2d,0
6.0,J,R,MO,1208,10,8d,3
7.0,O,R,MO,1208,10,21d,2
23.0,D,R,MO,1208,1,9d,5
24.0,O,R,MO,1208,5,29d,6
3.0,O,R,MO,1208,5,30d,0
21.0,M,R,MO,1208,7,14d,3
13.0,J,R,MO,1208,11,17d,3
6.0,O,R,MO,1208,11,21d,0
19.0,O,R,MO,1208,1,10d,1
17.0,O,R,MO,1208,1,12d,3
5.0,O,R,PP,1208,1,21d,5
21.0,D,R,MO,1208,4,15d,5
6.0,O,R,MO,1208,8,7d,0
15.0,O,R,MO,1208,9,16d,5
15.0,N,R,MO,1208,9,25d,0
5.0,J,R,MO,1208,10,23d,0
21.0,O,R,MO,1208,11,14d,1
1.0,O,R,MO,1208,12,2d,5
7.0,O,R,MO,1208,1,22d,0
8.0,J,R,MO,1208,3,9d,4
4.0,M,R,MO,1208,3,13d,1
19.0,D,R,MO,1208,3,17d,5
12.0,O,R,MO,1208,5,22d,1
5.0,O,R,MO,1208,8,14d,1
5.0,O,R,MO,1208,11,21d,2
17.0,O,N,MO,1208,12,11d,1
