odsek,vrsta,cesta,ime_odseka
0030,A1,AC,MEJA A-ŠENTILJ
0630,A1,AC,MEJA A-ŠENTILJ
0128,A1,AC,PRIKLJUČEK ŠENTILJ
1650,A1,AC,POČIVALIŠČE ŠENTILJ
1651,A1,AC,POČIVALIŠČE ŠENTILJ
0031,A1,AC,ŠENTILJ-PESNICA
0631,A1,AC,ŠENTILJ-PESNICA
1652,A1,AC,POČIVALIŠČE PESNICA
1653,A1,AC,POČIVALIŠČE PESNICA
0459,A1,AC,PRIKLJUČEK MARIBOR SEVER
0129,A1,AC,PRIKLJUČEK RONDO PESNICA
0065,A1,AC,PESNICA-DRAGUČOVA
0665,A1,AC,PESNICA-DRAGUČOVA
0132,A1,AC,RAZCEP DRAGUČOVA
0071,A1,AC,DRAGUČOVA-MARIBOR (PTUJSKA)
0671,A1,AC,DRAGUČOVA-MARIBOR (PTUJSKA)
0163,A1,AC,PRIKLJUČEK MARIBOR VZHOD (ZRKOVSKA)
1720,A1,AC,POČIVALIŠČE MARIBOR Z
1721,A1,AC,POČIVALIŠČE MARIBOR
0162,A1,AC,PRIKLJUČEK MARIBOR CENTER (PTUJSKA C.)
0066,A1,AC,MARIBOR (PTUJSKA)-SLIVNICA
0666,A1,AC,MARIBOR (PTUJSKA)-SLIVNICA
0167,A1,AC,PRIKLJUČEK ROGOZA
0133,A1,AC,PRIKLJUČEK MARIBOR JUG (SLIVNICA)
1654,A1,AC,POČIVALIŠČE SLIVNICA
0034,A1,AC,SLIVNICA
0634,A1,AC,SLIVNICA
0035,A1,AC,SLIVNICA-FRAM
0635,A1,AC,SLIVNICA-FRAM
0134,A1,AC,PRIKLJUČEK FRAM
0036,A1,AC,FRAM-SL. BISTRICA
0636,A1,AC,FRAM-SL. BISTRICA
1676,A1,AC,POČIVALIŠČE POLSKAVA
1677,A1,AC,POČIVALIŠČE POLSKAVA
0461,A1,AC,PRIKLJUČEK SL. BISTRICA-S
0135,A1,AC,PRIKLJUČEK SL. BISTRICA-J
0037,A1,AC,SL. BISTRICA-SL. KONJICE
0637,A1,AC,SL. BISTRICA-SL. KONJICE
1656,A1,AC,POČIVALIŠČE TEPANJE
1657,A1,AC,POČIVALIŠČE TEPANJE
0136,A1,AC,PRIKLJUČEK SL. KONJICE
0038,A1,AC,SL. KONJICE-DRAMLJE
0638,A1,AC,SL. KONJICE-DRAMLJE
0137,A1,AC,PRIKLJUČEK DRAMLJE
0039,A1,AC,DRAMLJE-CELJE
0639,A1,AC,DRAMLJE-CELJE
1658,A1,AC,POČIVALIŠČE ZIMA
1659,A1,AC,POČIVALIŠČE ZIMA
0195,A1,AC,PRIKLJUČEK CELJE VZHOD
0138,A1,AC,PRIKLJUČEK CELJE
0040,A1,AC,CELJE-ARJA VAS
0640,A1,AC,CELJE-ARJA VAS
0191,A1,AC,PRIKLJUČEK CELJE ZAHOD
1660,A1,AC,POČIVALIŠČE LOPATA
1661,A1,AC,POČIVALIŠČE LOPATA
0139,A1,AC,PRIKLJUČEK ŽALEC (ARJA VAS)
0041,A1,AC,ARJA VAS-ŠENTRUPERT
0641,A1,AC,ARJA VAS-ŠENTRUPERT
0192,A1,AC,PRIKLJUČEK ŠEMPETER
0140,A1,AC,PRIKLJUČEK ŠENTRUPERT
0042,A1,AC,ŠENTRUPERT-VRANSKO
0642,A1,AC,ŠENTRUPERT-VRANSKO
0141,A1,AC,PRIKLJUČEK VRANSKO
0043,A1,AC,VRANSKO-TROJANE
0643,A1,AC,VRANSKO-TROJANE
0105,A1,AC,PRIKLJUČEK TROJANE
0067,A1,AC,TROJANE-BLAGOVICA
0667,A1,AC,TROJANE-BLAGOVICA
0142,A1,AC,PRIKLJUČEK BLAGOVICA
0044,A1,AC,BLAGOVICA-KRTINA
0644,A1,AC,BLAGOVICA-KRTINA
0169,A1,AC,PRIKLJUČEK LUKOVICA
1682,A1,AC,POČIVALIŠČE LUKOVICA
1683,A1,AC,POČIVALIŠČE LUKOVICA
0143,A1,AC,PRIKLJUČEK KRTINA
0045,A1,AC,KRTINA-DOMŽALE
0645,A1,AC,KRTINA-DOMŽALE
0144,A1,AC,PRIKLJUČEK DOMŽALE
0046,A1,AC,DOMŽALE-ŠENTJAKOB
0646,A1,AC,DOMŽALE-ŠENTJAKOB
0145,A1,AC,PRIKLJUČEK LJ ŠENTJAKOB
0047,A1,AC,ŠENTJAKOB-LJ (ZADOBROVA)
0647,A1,AC,ŠENTJAKOB-LJ (ZADOBROVA)
0189,A1,AC,PRIKLJUČEK LJ SNEBERJE
0146,A1,AC,RAZCEP LJ ZADOBROVA
0048,A1,AC,LJ (ZADOBROVA-ZALOŠKA)
0648,A1,AC,LJ (ZADOBROVA-ZALOŠKA)
0462,A1,AC,PRIKLJUČEK LJ IND CONA MOSTE (BTC)
0147,A1,AC,PRIKLJUČEK LJ VZHOD (ZALOŠKA C.)
0049,A1,AC,LJ (ZALOŠKA-LITIJSKA)
0649,A1,AC,LJ (ZALOŠKA-LITIJSKA)
0148,A1,AC,PRIKLJUČEK LJ BIZOVIK (LITIJSKA C.)
0050,A1,AC,LJ (LITIJSKA-MALENCE)
0650,A1,AC,LJ (LITIJSKA-MALENCE)
0119,A1,AC,RAZCEP LJ MALENCE P
0019,A1,AC,LJ (MALENCE-DOLENJSKA C.)
0619,A1,AC,LJ (MALENCE-DOLENJSKA C.)
0118,A1,AC,PRIKLJUČEK LJ JUG (DOLENJSKA C.)
0018,A1,AC,LJ (DOLENJSKA-BARJANSKA)
0618,A1,AC,LJ (DOLENJSKA-BARJANSKA)
0188,A1,AC,PRIKLJUČEK LJ RUDNIK (PERUZZIJEVA)
0117,A1,AC,PRIKLJUČEK LJ CENTER (BARJANSKA)
0017,A1,AC,LJ (BARJANSKA-VIČ)
0617,A1,AC,LJ (BARJANSKA-VIČ)
1662,A1,AC,POČIVALIŠČE BARJE
1663,A1,AC,POČIVALIŠČE BARJE
0116,A1,AC,PRIKLJUČEK LJ ZAHOD (VIČ)
0016,A1,AC,LJ (VIČ-KOZARJE)
0616,A1,AC,LJ (VIČ-KOZARJE)
0051,A1,AC,LJ (KOZARJE)-BREZOVICA
0651,A1,AC,LJ (KOZARJE)-BREZOVICA
0149,A1,AC,PRIKLJUČEK BREZOVICA
0052,A1,AC,BREZOVICA-VRHNIKA
0652,A1,AC,BREZOVICA-VRHNIKA
0150,A1,AC,PRIKLJUČEK VRHNIKA
0053,A1,AC,VRHNIKA-LOGATEC
0653,A1,AC,VRHNIKA-LOGATEC
0151,A1,AC,PRIKLJUČEK LOGATEC
0054,A1,AC,LOGATEC-UNEC
0654,A1,AC,LOGATEC-UNEC
1664,A1,AC,POČIVALIŠČE LOM
1665,A1,AC,POČIVALIŠČE LOM
0152,A1,AC,PRIKLJUČEK UNEC
0055,A1,AC,UNEC-POSTOJNA
0655,A1,AC,UNEC-POSTOJNA
1666,A1,AC,POČIVALIŠČE RAVBARKOMANDA
1667,A1,AC,POČIVALIŠČE RAVBARKOMANDA
0153,A1,AC,PRIKLJUČEK POSTOJNA
0056,A1,AC,POSTOJNA-RAZDRTO
0656,A1,AC,POSTOJNA-RAZDRTO
1668,A1,AC,POČIVALIŠČE STUDENEC
1669,A1,AC,POČIVALIŠČE STUDENEC
0197,A1,AC,PRIKLJUČEK RAZDRTO
0154,A1,AC,RAZCEP NANOS
0057,A1,AC,RAZDRTO-SENOŽEČE
0657,A1,AC,RAZDRTO-SENOŽEČE
0155,A1,AC,PRIKLJUČEK SENOŽEČE
0058,A1,AC,SENOŽEČE-GABRK
0658,A1,AC,SENOŽEČE-GABRK
0156,A1,AC,RAZCEP GABRK
0059,A1,AC,GABRK-DIVAČA
0659,A1,AC,GABRK-DIVAČA
1641,A1,AC,POČIVALIŠČE RISNIK
0157,A1,AC,PRIKLJUČEK DIVAČA
0060,A1,AC,DIVAČA-KOZINA
0660,A1,AC,DIVAČA-KOZINA
0158,A1,AC,PRIKLJUČEK KOZINA
0061,A1,AC,KOZINA-ČRNI KAL
0661,A1,AC,KOZINA-ČRNI KAL
1640,A1,AC,POČIVALIŠČE RAVNE
0159,A1,AC,PRIKLJUČEK KASTELEC
0161,A1,AC,PRIKLJUČEK ČRNI KAL
0062,A1,AC,ČRNI KAL-SRMIN
0662,A1,AC,ČRNI KAL-SRMIN
0160,A1,AC,RAZCEP SRMIN
0196,A1,AC,PRIKLJUČEK LUKA KOPER
0001,A2,AC,MEJA A (PREDOR)-HRUŠICA
0601,A2,AC,MEJA A (PREDOR)-HRUŠICA
0453,A2,AC,KAMIONSKA C. KARAVANKE
0454,A2,AC,POVRATNA-DOSTOPNA KARAVAN
0455,A2,AC,OBRAČALNE C. PRED PRED. KARAVANKE
0101,A2,AC,PRIKLJUČEK JESENICE Z (HRUŠICA)
0002,A2,AC,HRUŠICA-LIPCE
0602,A2,AC,HRUŠICA-LIPCE
1642,A2,AC,POČIVALIŠČE JESENICE
1643,A2,AC,POČIVALIŠČE JESENICE
0102,A2,AC,PRIKLJUČEK JESENICE
0003,A2,AC,LIPCE-LESCE
0603,A2,AC,LIPCE-LESCE
1644,A2,AC,POČIVALIŠČE LIPCE
1645,A2,AC,POČIVALIŠČE LIPCE
0103,A2,AC,PRIKLJUČEK LESCE
0004,A2,AC,LESCE-BREZJE
0604,A2,AC,LESCE-BREZJE
0170,A2,AC,PRIKLJUČEK RADOVLJICA
1706,A2,AC,POČIVALIŠČE RADOVLJICA
1707,A2,AC,POČIVALIŠČE RADOVLJICA
0104,A2,AC,PRIKLJUČEK BREZJE
0005,A2,AC,BREZJE-PODTABOR
0605,A2,AC,BREZJE-PODTABOR
0405,A2,AC,RAZCEP PODTABOR
0006,A2,AC,PODTABOR-KRANJ Z
0606,A2,AC,PODTABOR-KRANJ Z
0408,A2,AC,PRIKLJUČEK NAKLO
0106,A2,AC,PRIKLJUČEK KRANJ Z
0007,A2,AC,KRANJ Z-KRANJ V
0607,A2,AC,KRANJ Z-KRANJ
0107,A2,AC,PRIKLJUČEK KRANJ
0008,A2,AC,KRANJ V-BRNIK
0608,A2,AC,KRANJ V-BRNIK
1646,A2,AC,POČIVALIŠČE VOKLO
1647,A2,AC,POČIVALIŠČE VOKLO
0108,A2,AC,PRIKLJUČEK BRNIK
0009,A2,AC,BRNIK-VODICE
0609,A2,AC,BRNIK-VODICE
0109,A2,AC,PRIKLJUČEK VODICE
0010,A2,AC,VODICE-LJ (ŠMARTNO)
0610,A2,AC,VODICE-LJ (ŠMARTNO)
1648,A2,AC,POČIVALIŠČE POVODJE
1649,A2,AC,POČIVALIŠČE POVODJE
0110,A2,AC,PRIKLJUČEK LJ ŠMARTNO
0011,A2,AC,LJ (ŠMARTNO-BROD)
0611,A2,AC,LJ (ŠMARTNO-BROD)
0111,A2,AC,PRIKLJUČEK LJ BROD
0012,A2,AC,LJ (BROD-ŠENTVID)
0612,A2,AC,LJ (BROD-ŠENTVID)
0112,A2,AC,PRIKLJUČEK LJ ŠENTVID
0013,A2,AC,ŠENTVID-KOSEZE
0613,A2,AC,ŠENTVID-KOSEZE
0464,A2,AC,PRIKLJUČEK LJ PODUTIK
0113,A2,AC,RAZCEP KOSEZE
0014,A2,AC,LJ (KOSEZE-BRDO)
0614,A2,AC,LJ (KOSEZE-BRDO)
0114,A2,AC,PRIKLJUČEK LJ BRDO
0015,A2,AC,LJ (BRDO-KOZARJE)
0615,A2,AC,LJ (BRDO-KOZARJE)
0115,A2,AC,RAZCEP LJ KOZARJE
0020,A2,AC,LJ (MALENCE)-ŠMARJE-SAP
0620,A2,AC,LJ (MALENCE)-ŠMARJE-SAP
0407,A2,AC,PRIKLJUČEK ŠMARJE-SAP
0021,A2,AC,ŠMARJE SAP-GROSUPLJE
0621,A2,AC,ŠMARJE SAP-GROSUPLJE
0120,A2,AC,PRIKLJUČEK GROSUPLJE-ZAHOD
1708,A2,AC,POČIVALIŠČE SAP
0121,A2,AC,PRIKLJUČEK GROSUPLJE
0022,A2,AC,GROSUPLJE-IVANČNA GORICA
0622,A2,AC,GROSUPLJE-IVANČNA GORICA
0409,A2,AC,PRIKLJUČEK VIŠNJA GORA
1674,A2,AC,POČIVALIŠČE PODSMREKA
0410,A2,AC,PRIKLJUČEK IVANČNA GORICA
0023,A2,AC,IVANČNA GORICA-BIČ
0623,A2,AC,IVANČNA GORICA-BIČ
0411,A2,AC,PRIKLJUČEK BIČ
0072,A2,AC,BIČ-TREBNJE
0672,A2,AC,BIČ-TREBNJE
0122,A2,AC,PRIKLJUČEK TREBNJE Z
1710,A2,AC,POČIVALIŠČE DUL
1711,A2,AC,POČIVALIŠČE GRM
0123,A2,AC,PRIKLJUČEK TREBNJE
0024,A2,AC,TREBNJE-NOVO MESTO
0624,A2,AC,TREBNJE-NOVO MESTO
0450,A2,AC,PRIKLJUČEK MIRNA PEČ
0413,A2,AC,PRIKLJUČEK NOVO MESTO ZAHOD
0124,A2,AC,PRIKLJUČEK NOVO MESTO VZHOD
0025,A2,AC,NOVO MESTO-KRONOVO
0625,A2,AC,NOVO MESTO-KRONOVO
1696,A2,AC,POČIVALIŠČE STARINE
1697,A2,AC,POČIVALIŠČE STARINE
0125,A2,AC,PRIKLJUČEK KRONOVO
0026,A2,AC,KRONOVO-DOBRUŠKA VAS
0626,A2,AC,KRONOVO-DOBRUŠKA VAS
0416,A2,AC,PRIKLJUČEK DOBRUŠKA VAS
0027,A2,AC,DOBRUŠKA VAS-DRNOVO
0627,A2,AC,DOBRUŠKA VAS-DRNOVO
0417,A2,AC,PRIKLJUČEK SMEDNIK
1678,A2,AC,POČIVALIŠČE ZALOKE
1679,A2,AC,POČIVALIŠČE ZALOKE
0418,A2,AC,PRIKLJUČEK DRNOVO
0028,A2,AC,DRNOVO-BREŽICE
0628,A2,AC,DRNOVO-BREŽICE
1680,A2,AC,POČIVALIŠČE ČATEŽ
1681,A2,AC,POČIVALIŠČE ČATEŽ
0419,A2,AC,PRIKLJUČEK BREŽICE
0029,A2,AC,BREŽICE-OBREŽJE
0629,A2,AC,BREŽICE-OBREŽJE
0126,A2,AC,PRIKLJUČEK OBREŽJE
1686,A2,AC,POČIVALIŠČE OBREŽJE
1687,A2,AC,POČIVALIŠČE OBREŽJE
1482,A2,AC,KAMIONSKA C. OBREŽJE
0127,A2,AC,PRIKLJUČEK OBREŽJE TERMINAL
0068,A3,AC,GABRK-SEŽANA V
0668,A3,AC,GABRK-SEŽANA
1670,A3,AC,POČIVALIŠČE POVIR
1671,A3,AC,POČIVALIŠČE POVIR
0165,A3,AC,PRIKLJUČEK SEŽANA
0069,A3,AC,SEŽANA V-SEŽANA Z
0669,A3,AC,SEŽANA V-SEŽANA Z
0166,A3,AC,PRIKLJUČEK SEŽANA Z
0070,A3,AC,SEŽANA Z-FERNETIČI
0670,A3,AC,SEŽANA Z-FERNETIČI
1672,A3,AC,POČIVALIŠČE FERNETIČI
1673,A3,AC,POČIVALIŠČE FERNETIČI
0486,A3,AC,PRIKLJUČEK FERNETIČI
0372,A3,AC,KAMIONSKA C. FERNETIČI
0091,A4,AC,SLIVNICA-HAJDINA
0691,A4,AC,SLIVNICA-HAJDINA
0168,A4,AC,RAZCEP SLIVNICA (navezava na A1)
0489,A4,AC,PRIKLJUČEK LETALIŠČE MARIBOR
0490,A4,AC,PRIKLJUČEK MARJETA
1716,A4,AC,CP PREPOLJE ZAHOD
1717,A4,AC,CP PREPOLJE VZHOD
0491,A4,AC,PRIKLJUČEK ZLATOLIČJE
1704,A4,AC,POČIVALIŠČE DRAVSKO POLJE
1705,A4,AC,POČIVALIŠČE DRAVSKO POLJE
0492,A4,AC,PRIKLJUČEK HAJDINA
0092,A4,AC,HAJDINA-DRAŽENCI
0692,A4,AC,HAJDINA-DRAŽENCI
0493,A4,AC,RAZCEP DRAŽENCI
0093,A4,AC,DRAŽENCI (-PODLEHNIK)
0693,A4,AC,DRAŽENCI (-PODLEHNIK)
0094,A4,AC,[JUROVCI]-GRUŠKOVJE-R HRVAŠKA
0694,A4,AC,[JUROVCI]-GRUŠKOVJE-R HRVAŠKA
1484,A4,AC,KAMIONSKA C. GRUŠKOVJE
0806,A5,AC,DRAGUČOVA-LENART
0906,A5,AC,DRAGUČOVA-LENART
0463,A5,AC,PRIKLJUČEK PERNICA
0171,A5,AC,PRIKLJUČEK LENART
0807,A5,AC,LENART-SV. TROJICA
0907,A5,AC,LENART-SV. TROJICA
1694,A5,AC,POČIVALIŠČE LOMARJE
1695,A5,AC,POČIVALIŠČE LOMARJE
0172,A5,AC,PRIKLJUČEK SV. TROJICA
0808,A5,AC,SV. TROJICA-SV. JURIJ OB ŠČAVN
0908,A5,AC,SV. TROJICA-SV. JURIJ OB ŠČAVN
0477,A5,AC,PRIKLJUČEK CERKVENJAK
